resource_id,project_id,employee_name,employee_id,role,department,hourly_rate,hours_allocated,hours_worked,start_date,end_date,status,created_date,updated_date
RES60529,PRJ5506,ชูใจ ทรงธรรม,EMP6006,Project Manager,ควบคุมคุณภาพ,1403,582,102,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES46496,PRJ5506,ชาคริต สุขสม,EMP1309,Quality Control,วิศวกรรม,915,1052,900,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES70857,PRJ5506,สมชาย มั่งคั่ง,EMP9955,Worker,ความปลอดภัย,1338,838,1231,2022-08-17,2022-12-10,Active,2022-06-10,2025-07-16 10:24:43
RES53148,PRJ5506,วิชาญ ทรงธรรม,EMP7671,Worker,ก่อสร้าง,354,1348,945,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES77597,PRJ5506,สมชาย มั่นใจ,EMP3123,Worker,วิศวกรรม,498,403,834,2022-08-17,2022-12-10,Active,2022-06-10,2025-07-16 10:24:43
RES12380,PRJ5506,นงลักษณ์ ขันที,EMP7810,Site Engineer,ควบคุมคุณภาพ,800,410,775,2022-08-17,2022-12-10,Active,2022-06-10,2025-07-16 10:24:43
RES53439,PRJ5506,อรพิน เก่งกาจ,EMP5006,Foreman,ก่อสร้าง,1600,1513,1724,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES52516,PRJ5506,วิไล ประสิทธิ์,EMP4163,Safety Officer,บำรุงรักษา,248,1462,722,2022-08-17,2022-12-10,Active,2022-06-10,2025-07-16 10:24:43
RES45522,PRJ5506,สมหญิง เด่น,EMP9141,Quality Control,ก่อสร้าง,866,856,1628,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES88094,PRJ5506,อรพิน เจริญ,EMP2745,Site Engineer,วิศวกรรม,556,835,1689,2022-08-17,2022-12-10,Active,2022-06-10,2025-07-16 10:24:43
RES52549,PRJ5506,ธนากร ชื่นชม,EMP8133,Foreman,บำรุงรักษา,1823,1072,1542,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES80556,PRJ5506,สุดา รักงาน,EMP1661,Supervisor,วิศวกรรม,1280,1071,665,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES12448,PRJ5506,วิภา มั่งคั่ง,EMP5173,Architect,บริหาร,1353,1374,1064,2022-08-17,2022-12-10,Active,2022-06-10,2025-07-16 10:24:43
RES81246,PRJ5506,อรุณ สุขสม,EMP6070,Foreman,ก่อสร้าง,1863,1407,550,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES53054,PRJ5506,พรรณี ใสใจ,EMP3966,Project Manager,การเงิน,1588,882,1254,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES52097,PRJ5506,สุธิดา ทรงธรรม,EMP2446,Site Engineer,ควบคุมคุณภาพ,1057,1079,1313,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES12401,PRJ5506,พรรณี แสงทอง,EMP8663,Quality Control,ก่อสร้าง,607,1065,612,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES99499,PRJ5506,วิชาญ สุขสม,EMP7374,Project Manager,การเงิน,1720,1246,1268,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES24290,PRJ5506,อรพิน เก่งกาจ,EMP3974,Site Engineer,ควบคุมคุณภาพ,229,572,876,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES88002,PRJ5506,กิตติ เจริญ,EMP1127,Supervisor,ความปลอดภัย,1218,1099,986,2022-08-17,2022-12-10,On Leave,2022-06-10,2025-07-16 10:24:43
RES19220,PRJ5506,ปิยะ ชื่นชม,EMP9457,Supervisor,บริหาร,1682,1566,1115,2022-08-17,2022-12-10,Completed,2022-06-10,2025-07-16 10:24:43
RES23871,PRJ4257,วิชาญ สมบูรณ์,EMP8850,Foreman,บำรุงรักษา,1998,375,1397,2022-02-24,2023-12-20,Completed,2022-01-19,2025-07-16 10:24:43
RES61635,PRJ4257,สมหญิง สมบูรณ์,EMP4461,Safety Officer,การเงิน,1575,458,1151,2022-02-24,2023-12-20,Completed,2022-01-19,2025-07-16 10:24:43
RES94241,PRJ4257,ชูใจ ไว้ใจ,EMP9390,Quality Control,วิศวกรรม,1652,1278,1683,2022-02-24,2023-12-20,Completed,2022-01-19,2025-07-16 10:24:43
RES40782,PRJ4257,สมศักดิ์ สุกใส,EMP7486,Supervisor,บริหาร,1739,1324,117,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES71638,PRJ4257,วิภา ทรงธรรม,EMP5662,Worker,ความปลอดภัย,158,800,1047,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES94222,PRJ4257,ชาคริต เด่น,EMP5540,Site Engineer,บริหาร,1994,1085,925,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES32328,PRJ4257,อรุณ มีสุข,EMP7317,Architect,ความปลอดภัย,1846,1499,575,2022-02-24,2023-12-20,Completed,2022-01-19,2025-07-16 10:24:43
RES69234,PRJ4257,อรพิน มั่นใจ,EMP2787,Quality Control,บริหาร,1724,690,610,2022-02-24,2023-12-20,Completed,2022-01-19,2025-07-16 10:24:43
RES95492,PRJ4257,วิไล ชาญยุทธ,EMP9449,Architect,บริหาร,1337,1106,1763,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES85012,PRJ4257,อรุณ ใสใจ,EMP9294,Architect,บำรุงรักษา,1591,1199,1648,2022-02-24,2023-12-20,Active,2022-01-19,2025-07-16 10:24:43
RES75126,PRJ4257,ธนากร ขันที,EMP2180,Quality Control,บำรุงรักษา,1526,1237,733,2022-02-24,2023-12-20,Active,2022-01-19,2025-07-16 10:24:43
RES98760,PRJ4257,สมหญิง ทรงธรรม,EMP4449,Project Manager,บำรุงรักษา,777,1495,1472,2022-02-24,2023-12-20,Active,2022-01-19,2025-07-16 10:24:43
RES71075,PRJ4257,สุธิดา รักงาน,EMP2538,Supervisor,การเงิน,1801,1506,152,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES10342,PRJ4257,ปรีดา ชื่นชม,EMP9758,Supervisor,จัดซื้อ,1432,1355,420,2022-02-24,2023-12-20,Active,2022-01-19,2025-07-16 10:24:43
RES35869,PRJ4257,วิไล แสงทอง,EMP5628,Project Manager,ควบคุมคุณภาพ,540,547,937,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES89169,PRJ4257,ธนากร มีสุข,EMP6456,Project Manager,ก่อสร้าง,1353,619,278,2022-02-24,2023-12-20,Active,2022-01-19,2025-07-16 10:24:43
RES99571,PRJ4257,กิตติ แสงทอง,EMP4204,Foreman,บำรุงรักษา,1832,647,742,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES53386,PRJ4257,วิชาญ เด่น,EMP8380,Foreman,ความปลอดภัย,1524,1376,1513,2022-02-24,2023-12-20,Active,2022-01-19,2025-07-16 10:24:43
RES28304,PRJ4257,ปิยะ สมบูรณ์,EMP5388,Safety Officer,บำรุงรักษา,535,313,698,2022-02-24,2023-12-20,Completed,2022-01-19,2025-07-16 10:24:43
RES90265,PRJ4257,ธนากร เจริญ,EMP4981,Architect,การเงิน,1772,913,805,2022-02-24,2023-12-20,On Leave,2022-01-19,2025-07-16 10:24:43
RES29503,PRJ2584,สมหญิง เจริญ,EMP7735,Site Engineer,บำรุงรักษา,235,675,250,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES50523,PRJ2584,ชาคริต ใสใจ,EMP5490,Safety Officer,จัดซื้อ,1006,387,1668,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES82222,PRJ2584,สมศักดิ์ สมบูรณ์,EMP2527,Foreman,บำรุงรักษา,370,1546,1599,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES64850,PRJ2584,ธนากร มั่งคั่ง,EMP8169,Quality Control,วิศวกรรม,1875,475,445,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES95079,PRJ2584,วิภา มั่งคั่ง,EMP6974,Quality Control,ความปลอดภัย,1258,740,958,2022-07-09,2023-10-31,On Leave,2022-05-28,2025-07-16 10:24:43
RES56229,PRJ2584,วิภา มั่งคั่ง,EMP5205,Architect,การเงิน,1573,823,1761,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES53642,PRJ2584,สมหญิง มีสุข,EMP7682,Supervisor,การเงิน,1339,1037,113,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES73869,PRJ2584,ชูใจ ไว้ใจ,EMP6105,Supervisor,ควบคุมคุณภาพ,1170,1483,380,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES35124,PRJ2584,สมศักดิ์ ไว้ใจ,EMP2011,Worker,จัดซื้อ,989,232,159,2022-07-09,2023-10-31,On Leave,2022-05-28,2025-07-16 10:24:43
RES42007,PRJ2584,กิตติ มั่นใจ,EMP7177,Foreman,จัดซื้อ,514,1312,135,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES34085,PRJ2584,ปิยะ เจริญ,EMP8276,Architect,การเงิน,1554,1545,147,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES70019,PRJ2584,นงลักษณ์ เจริญ,EMP8072,Safety Officer,บริหาร,363,297,797,2022-07-09,2023-10-31,On Leave,2022-05-28,2025-07-16 10:24:43
RES32628,PRJ2584,สมหญิง เจริญ,EMP4394,Supervisor,ความปลอดภัย,370,793,1352,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES67202,PRJ2584,นงลักษณ์ ทรงธรรม,EMP3680,Site Engineer,จัดซื้อ,1086,533,1591,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES95072,PRJ2584,มานี สมบูรณ์,EMP4788,Site Engineer,ก่อสร้าง,1278,1343,873,2022-07-09,2023-10-31,On Leave,2022-05-28,2025-07-16 10:24:43
RES29229,PRJ2584,วิชาญ มั่งคั่ง,EMP6524,Supervisor,บริหาร,1398,1143,274,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES64775,PRJ2584,สมหญิง เจริญ,EMP3063,Foreman,ควบคุมคุณภาพ,504,1496,1048,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES46664,PRJ2584,สุดา สุกใส,EMP1887,Architect,ความปลอดภัย,1683,1430,1246,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES80972,PRJ2584,ชูใจ สุกใส,EMP3728,Foreman,บริหาร,1155,979,496,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
