vendor_id,vendor_name,vendor_type,contact_person,phone,email,address,rating,total_contracts,total_value,payment_terms,created_date,updated_date
V4535,บริษัท GHI จำกัด,ที่ปรึกษา,กิติกานต์ ทองแท้,+662 460 9445,xphrsiimaa@icloud.com,518 ถนนเณรานุสนธิ์ อำเภอปลาปาก แม่ฮ่องสอน 80230,A,19,8312942,60 วัน,2024-07-08,2024-11-12
V5525,บริษัท ABC จำกัด,ผู้รับเหมา,มูฮำมัด ธุวะนุติ์,095-147-2882,suwrrnhngsnitiyaa@yahoo.com,108 ถ.ศาสตร์ศิลป์ ต.ป่าหัวงัว อ.วังยาง สุรินทร์ 22510,C,15,25877111,30 วัน,2024-04-20,2025-04-19
V8964,บริษัท DEF จำกัด,ผู้รับเหมา,บุญนพ นาถะพินธุ,039 945335,siihraachchatrphiethiiyngkham@brisath.go.th,71/0 ถนนทุมะบุตร์ ตำบลบึงหัวงัว อำเภอพระนคร จังหวัดเชียงราย 88500,B,12,40323276,30 วัน,2023-02-06,2024-11-11
V2581,บริษัท XYZ จำกัด,ผู้รับเหมา,เจตพินิษฐ์ ดุริยพันธุ์,026-776369,skumaarbuy@outlook.com,9/4 ถ.ธีวร ต.ปากพลี อ.นาทม นครศรีธรรมราช 95580,A,19,42318676,45 วัน,2024-05-13,2024-12-30
V7725,หน่วยงานราชการ,ที่ปรึกษา,อเนชา ดาบเพ็ชร์,042 956110,surwach60@hcchktanyaakaarkhaa.com,56 ถนนทรงโกมล ต.โคกกรวด อ.พรเจริญ น่าน 87870,B,10,29700510,60 วัน,2022-10-30,2024-10-29
V6792,กรมทางหลวง,ผู้รับเหมา,ณัฐศักดิ์ ราชมณี,+66 (0) 5536 6462,eksraanaathaedcha@ymail.com,9/3 ถ.ทองปากน้ำ อ.ซับใหญ่ ปราจีนบุรี 65470,C,19,36189545,30 วัน,2024-04-21,2024-09-01
V8046,การไฟฟ้าฝ่ายผลิต,ที่ปรึกษา,รัฐพงษ์ ธูปะวิโรจน์,0 4642 2707,prawii72@haanghunswncchamkad.co,944/02 ถ.ดาบเพ็ชร์ ตำบลบางเล่า อำเภอหนองบัวแดง จังหวัดร้อยเอ็ด 46680,B,14,45237967,60 วัน,2024-02-13,2025-07-03
V5042,มูลนิธิการกุศล,ผู้รับเหมา,เพชรมณี เนตร์มณี,0 620 330 521,phachriinisth14@hotmail.com,49/29 ถนนร่มธิติรัตน์ ตำบลเปือยใหญ่ อำเภอเขาสมิง จังหวัดกทม. 53480,B,13,47012116,45 วัน,2023-09-03,2024-11-03
V5478,สำนักงานเขต,ซัพพลายเออร์,จันทภา นฤทุกข์,098 757 1862,nrwithyochtikulpraphathrsrn@hotmail.com,44 หมู่ 4 ถ.ฉัพพรรณธนกูร ต.ในเตากลาง อ.เวียงแก่น จ.พิษณุโลก,B,11,11940866,60 วัน,2023-02-23,2025-05-06
V3334,องค์การบริหารส่วนตำบล,ซัพพลายเออร์,มารุด ถนัดภาษา,0 3580 5028,snaameswtr@hcchkthrrmemthaa.or.th,7/0 ถนนแหยมศิริ อ.เขาสมิง เชียงราย 89630,A,9,24759941,30 วัน,2023-03-17,2024-11-24
