expense_id,project_id,budget_id,category,expense_type,amount,description,vendor,invoice_number,expense_date,approved_by,approval_date,created_date,updated_date
EXP001,PRJ001,BDG003,เครื่องจักร,เช่าเครื่องจักร,133087,ค่าแรง สำหรับ โครงการอาคารที่พักอาศัย แห่งที่ 1,บริษัท KL จำกัด,INV2480-544,2024-10-28,วิชัย รุ่งเรือง,2024-11-03,2023-04-25,2024-06-24
EXP002,PRJ001,BDG001,ค่าแรง,วัสดุก่อสร้าง,408652,ค่าขนส่ง สำหรับ โครงการอาคารที่พักอาศัย แห่งที่ 1,บริษัท NO จำกัด,INV3725-810,2024-10-29,ประเสริฐ แก้วมี,2024-11-04,2023-04-25,2024-06-24
EXP003,PRJ001,BDG004,ขนส่ง,เช่าเครื่องจักร,483654,วัสดุก่อสร้าง สำหรับ โครงการอาคารที่พักอาศัย แห่งที่ 1,บริษัท RS จำกัด,INV5806-467,2024-05-27,ประเสริฐ แก้วมี,2024-05-28,2023-04-25,2024-06-24
EXP004,PRJ002,BDG008,เครื่องจักร,ค่าขนส่ง,86320,ค่าบริการ สำหรับ โครงการลานจอดรถ ปรับปรุง 2,บริษัท BC จำกัด,INV3950-274,2024-11-19,สุมาลี ทองดี,2024-11-24,2024-07-28,2024-11-16
EXP005,PRJ002,BDG008,เครื่องจักร,ค่าขนส่ง,51402,ค่าบริการ สำหรับ โครงการลานจอดรถ ปรับปรุง 2,บริษัท UV จำกัด,INV4945-609,2024-12-13,สุมาลี ทองดี,2024-12-20,2024-07-28,2024-11-16
EXP006,PRJ002,BDG007,วัสดุก่อสร้าง,เช่าเครื่องจักร,131733,ค่าขนส่ง สำหรับ โครงการลานจอดรถ ปรับปรุง 2,บริษัท DE จำกัด,INV5183-782,2024-12-03,วิชัย รุ่งเรือง,2024-12-09,2024-07-28,2024-11-16
EXP007,PRJ002,BDG009,ขนส่ง,เช่าเครื่องจักร,481286,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการลานจอดรถ ปรับปรุง 2,บริษัท BC จำกัด,INV9955-261,2024-12-25,วิชัย รุ่งเรือง,2024-12-29,2024-07-28,2024-11-16
EXP008,PRJ002,BDG010,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,241593,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการลานจอดรถ ปรับปรุง 2,บริษัท PQ จำกัด,INV7951-806,2024-11-26,ประเสริฐ แก้วมี,2024-12-01,2024-07-28,2024-11-16
EXP009,PRJ002,BDG009,ขนส่ง,ค่าแรง,249513,ค่าขนส่ง สำหรับ โครงการลานจอดรถ ปรับปรุง 2,บริษัท GH จำกัด,INV8916-209,2024-12-28,สุมาลี ทองดี,2024-12-31,2024-07-28,2024-11-16
EXP010,PRJ003,BDG014,ขนส่ง,เช่าเครื่องจักร,309852,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงพยาบาล แห่งที่ 3,บริษัท CD จำกัด,INV5837-122,2024-09-22,อนงค์ มณีแสง,2024-09-27,2023-06-09,2024-08-17
EXP011,PRJ003,BDG014,ขนส่ง,ค่าใช้จ่ายอื่นๆ,153906,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงพยาบาล แห่งที่ 3,บริษัท QR จำกัด,INV1803-720,2024-06-25,อนงค์ มณีแสง,2024-06-30,2023-06-09,2024-08-17
EXP012,PRJ003,BDG015,ค่าใช้จ่ายอื่นๆ,ค่าแรง,446647,ค่าบริการ สำหรับ โครงการโรงพยาบาล แห่งที่ 3,บริษัท RS จำกัด,INV6772-324,2024-09-04,สุมาลี ทองดี,2024-09-11,2023-06-09,2024-08-17
EXP013,PRJ003,BDG015,ค่าใช้จ่ายอื่นๆ,ค่าใช้จ่ายอื่นๆ,335525,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงพยาบาล แห่งที่ 3,บริษัท DE จำกัด,INV3240-743,2024-08-26,วิชัย รุ่งเรือง,2024-09-01,2023-06-09,2024-08-17
EXP014,PRJ003,BDG012,วัสดุก่อสร้าง,วัสดุก่อสร้าง,483643,เช่าเครื่องจักร สำหรับ โครงการโรงพยาบาล แห่งที่ 3,บริษัท CD จำกัด,INV8222-134,2024-11-30,ประเสริฐ แก้วมี,2024-12-06,2023-06-09,2024-08-17
EXP015,PRJ003,BDG015,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,393967,เช่าเครื่องจักร สำหรับ โครงการโรงพยาบาล แห่งที่ 3,บริษัท WX จำกัด,INV7807-279,2024-07-26,สุมาลี ทองดี,2024-07-27,2023-06-09,2024-08-17
EXP016,PRJ004,BDG020,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,422359,เช่าเครื่องจักร สำหรับ โครงการอาคารที่พักอาศัย ขยาย 4,บริษัท JK จำกัด,INV3695-363,2024-11-24,อนงค์ มณีแสง,2024-11-29,2023-05-08,2024-11-27
EXP017,PRJ004,BDG017,วัสดุก่อสร้าง,เช่าเครื่องจักร,432832,วัสดุก่อสร้าง สำหรับ โครงการอาคารที่พักอาศัย ขยาย 4,บริษัท IJ จำกัด,INV8673-177,2024-11-06,สุมาลี ทองดี,2024-11-12,2023-05-08,2024-11-27
EXP018,PRJ004,BDG018,เครื่องจักร,ค่าใช้จ่ายอื่นๆ,405392,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการอาคารที่พักอาศัย ขยาย 4,บริษัท MN จำกัด,INV7511-966,2024-10-19,ประเสริฐ แก้วมี,2024-10-26,2023-05-08,2024-11-27
EXP019,PRJ004,BDG019,ขนส่ง,เช่าเครื่องจักร,57344,ค่าบริการ สำหรับ โครงการอาคารที่พักอาศัย ขยาย 4,บริษัท UV จำกัด,INV3024-565,2024-12-02,ประเสริฐ แก้วมี,2024-12-03,2023-05-08,2024-11-27
EXP020,PRJ005,BDG022,วัสดุก่อสร้าง,ค่าขนส่ง,402697,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท YZ จำกัด,INV7086-210,2024-06-23,สุมาลี ทองดี,2024-06-28,2023-04-30,2024-04-01
EXP021,PRJ005,BDG024,ขนส่ง,ค่าบริการ,257189,เช่าเครื่องจักร สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท GH จำกัด,INV4626-763,2024-02-22,วิชัย รุ่งเรือง,2024-02-27,2023-04-30,2024-04-01
EXP022,PRJ005,BDG022,วัสดุก่อสร้าง,เช่าเครื่องจักร,343134,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท AB จำกัด,INV7689-219,2024-10-04,สุมาลี ทองดี,2024-10-10,2023-04-30,2024-04-01
EXP023,PRJ005,BDG022,วัสดุก่อสร้าง,ค่าขนส่ง,33774,วัสดุก่อสร้าง สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท JK จำกัด,INV2592-340,2024-02-29,สุมาลี ทองดี,2024-03-03,2023-04-30,2024-04-01
EXP024,PRJ005,BDG021,ค่าแรง,ค่าใช้จ่ายอื่นๆ,213762,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท WX จำกัด,INV9850-529,2024-09-29,สุมาลี ทองดี,2024-10-02,2023-04-30,2024-04-01
EXP025,PRJ005,BDG025,ค่าใช้จ่ายอื่นๆ,วัสดุก่อสร้าง,474211,ค่าขนส่ง สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท BC จำกัด,INV7686-386,2024-09-09,วิชัย รุ่งเรือง,2024-09-15,2023-04-30,2024-04-01
EXP026,PRJ005,BDG024,ขนส่ง,ค่าขนส่ง,371905,ค่าขนส่ง สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท RS จำกัด,INV4868-975,2024-08-17,ประเสริฐ แก้วมี,2024-08-19,2023-04-30,2024-04-01
EXP027,PRJ005,BDG025,ค่าใช้จ่ายอื่นๆ,ค่าใช้จ่ายอื่นๆ,62090,เช่าเครื่องจักร สำหรับ โครงการโรงเรียน ขยาย 5,บริษัท ST จำกัด,INV1992-507,2024-08-16,ประเสริฐ แก้วมี,2024-08-21,2023-04-30,2024-04-01
EXP028,PRJ006,BDG027,วัสดุก่อสร้าง,ค่าใช้จ่ายอื่นๆ,74046,ค่าแรง สำหรับ โครงการลานจอดรถ ใหม่ 6,บริษัท CD จำกัด,INV1349-151,2024-12-29,ประเสริฐ แก้วมี,2024-12-30,2023-03-15,2024-12-20
EXP029,PRJ006,BDG030,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,137700,ค่าแรง สำหรับ โครงการลานจอดรถ ใหม่ 6,บริษัท MN จำกัด,INV2124-949,2024-12-19,สุมาลี ทองดี,2024-12-26,2023-03-15,2024-12-20
EXP030,PRJ006,BDG027,วัสดุก่อสร้าง,ค่าแรง,317433,เช่าเครื่องจักร สำหรับ โครงการลานจอดรถ ใหม่ 6,บริษัท OP จำกัด,INV3417-907,2024-12-21,วิชัย รุ่งเรือง,2024-12-28,2023-03-15,2024-12-20
EXP031,PRJ006,BDG030,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,155371,เช่าเครื่องจักร สำหรับ โครงการลานจอดรถ ใหม่ 6,บริษัท MN จำกัด,INV3858-212,2024-12-19,วิชัย รุ่งเรือง,2024-12-21,2023-03-15,2024-12-20
EXP032,PRJ007,BDG032,วัสดุก่อสร้าง,ค่าแรง,17791,ค่าบริการ สำหรับ โครงการโรงเรียน ขยาย 7,บริษัท DE จำกัด,INV6304-116,2024-07-30,สุมาลี ทองดี,2024-08-06,2023-01-17,2024-07-08
EXP033,PRJ007,BDG035,ค่าใช้จ่ายอื่นๆ,ค่าใช้จ่ายอื่นๆ,149129,ค่าขนส่ง สำหรับ โครงการโรงเรียน ขยาย 7,บริษัท CD จำกัด,INV9619-216,2024-02-24,วิชัย รุ่งเรือง,2024-02-26,2023-01-17,2024-07-08
EXP034,PRJ007,BDG035,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,259690,ค่าบริการ สำหรับ โครงการโรงเรียน ขยาย 7,บริษัท ST จำกัด,INV2786-562,2024-09-14,สุมาลี ทองดี,2024-09-21,2023-01-17,2024-07-08
EXP035,PRJ007,BDG034,ขนส่ง,ค่าใช้จ่ายอื่นๆ,332493,ค่าบริการ สำหรับ โครงการโรงเรียน ขยาย 7,บริษัท HI จำกัด,INV5941-569,2024-02-20,วิชัย รุ่งเรือง,2024-02-26,2023-01-17,2024-07-08
EXP036,PRJ008,BDG038,เครื่องจักร,ค่าใช้จ่ายอื่นๆ,261124,วัสดุก่อสร้าง สำหรับ โครงการโรงงาน ใหม่ 8,บริษัท BC จำกัด,INV9032-829,2024-10-31,อนงค์ มณีแสง,2024-11-04,2024-04-14,2024-08-26
EXP037,PRJ008,BDG040,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,48530,ค่าแรง สำหรับ โครงการโรงงาน ใหม่ 8,บริษัท GH จำกัด,INV2076-229,2024-08-10,ประเสริฐ แก้วมี,2024-08-13,2024-04-14,2024-08-26
EXP038,PRJ008,BDG036,ค่าแรง,ค่าบริการ,337322,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงงาน ใหม่ 8,บริษัท GH จำกัด,INV6327-490,2024-12-30,ประเสริฐ แก้วมี,2025-01-04,2024-04-14,2024-08-26
EXP039,PRJ009,BDG045,ค่าใช้จ่ายอื่นๆ,วัสดุก่อสร้าง,275054,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 9,บริษัท YZ จำกัด,INV2874-973,2024-12-05,สุมาลี ทองดี,2024-12-09,2023-05-22,2024-11-11
EXP040,PRJ009,BDG041,ค่าแรง,ค่าขนส่ง,235480,เช่าเครื่องจักร สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 9,บริษัท ST จำกัด,INV8430-508,2024-10-27,อนงค์ มณีแสง,2024-10-29,2023-05-22,2024-11-11
EXP041,PRJ009,BDG044,ขนส่ง,ค่าขนส่ง,392527,เช่าเครื่องจักร สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 9,บริษัท IJ จำกัด,INV5176-483,2024-07-28,สุมาลี ทองดี,2024-07-31,2023-05-22,2024-11-11
